EPS-Annual Basis,Ticker,Quarter-Year,CFPS,PE_Ratio,Market_Cap,ROE,Price_Sales_Ratio,Payout_Ratio,Debt_Equity_Ratio,Quarter,Final_Rating
-3.112473545,AMRS,2013,-0.321360679,-121.9290724,2954097566,-23.98811881,421.7729249,0,192.839604,3,0
4.193987198,TAP,2006,7.991644653,11.23302899,2940627260,0.04458368,0.681695683,-0.10485744,0.999100949,3,1
1.970149254,SMG,2006,-5.014925373,31.20489362,2933260000,0.076360682,3.230462555,0.085106383,0.163281885,2,1
1.74000002,SMG,2007,9.023362934,-73.07657963,2923063185,-0.083507307,5.742756749,26.975,3.751565762,3,1
2.595054096,SMG,2011,-3.571428571,-39.77687671,2903712000,-0.157259802,13.74863636,-0.25890411,3.662429987,4,1
-3.632594165,AMRS,2012,-0.55275509,-60.64061795,2858295527,-0.512153249,148.382678,0,2.206273837,2,0
-1.717464503,AMRS,2015,-0.259251665,-66.75018481,2799502751,0.265333882,284.3000661,0,-1.697168886,4,0
2.61102107,SMG,2013,-6.281300813,27.85335,2785335000,0.164771791,2.731791879,0.207,3.773274015,1,1
1.745901639,SMG,2012,-3.153094463,-40.94263636,2702214000,-0.128454652,13.13029155,-0.301515152,3.141884002,4,1
-1.717464503,AMRS,2015,-0.041352123,-51.38776796,2685627529,0.281656894,341.1620337,0,-2.040430715,1,0
1.74000002,SMG,2007,8.830769231,20.7748062,2679950000,0.254940711,2.44075592,0.062015504,4.173913043,2,1
2.360000017,SMG,2009,10.11869288,-175.5610157,2633415235,-0.025684932,4.517007264,3.866666667,2.799657534,3,1
1.970149254,SMG,2006,8.23880597,19.7624812,2628410000,0.099253731,2.508024809,0.067669173,0.15,3,1
2.360000017,SMG,2009,9.59375,17.44,2581120000,0.245847176,2.0165,0.054054054,3.5,2,1
1.745901639,SMG,2012,0.129508197,-63.88225,2555290000,-0.066456222,6.738633966,-0.4975,2.446419671,3,1
-1.717464503,AMRS,2015,-0.194060105,-33.09006921,2537611227,0.543235413,295.3801918,0,-1.956435195,3,0
1.699482387,TAP,2005,-2.627016611,18.60566502,2510722860,0.025342943,0.455922592,0.203877164,1.200202001,4,1
-3.632594165,AMRS,2012,-0.549720935,-57.34988818,2501258023,-0.649926981,427.2733213,0,2.618663011,4,0
1.699482387,TAP,2005,-1.510189205,-47.18616045,2440940080,-0.010050366,2.293804021,-0.527604871,1.282188178,1,1
2.360000017,SMG,2009,-7.15625,31.28519481,2408960000,0.169977925,2.509333333,0.116883117,5.549668874,1,1
1.745901639,SMG,2012,11.83934426,25.8056806,2407670000,0.1384273,2.266682357,0.196141479,2.537240356,2,1
-3.632594165,AMRS,2012,-1.231842982,-24.84357944,2357556314,-0.714062124,80.00123229,0,1.423759933,1,0
-2.242511449,AMRS,2017,-0.08755023,-62.86472531,2349317650,0.176122118,180.9951964,0,-1.44980866,1,0
-3.632594165,AMRS,2012,-0.505517718,-111.5800109,2274893262,-0.263189828,119.0544935,0,2.376750791,3,0
1.74000002,SMG,2007,-3.046875,-39.02857143,2185600000,-0.134292566,7.096103896,-0.142857143,4.774580336,4,1
-0.170000001,SMG,2008,-2.796875,-37.95087719,2163200000,-0.154891304,6.802515723,-0.140350877,5.14673913,4,0
-3.197121453,TLRY,2019,-0.845129013,-60.22349132,2148653723,-0.085816202,42.04719523,0,1.501990384,3,0
-0.408211372,AMRS,2016,-0.155108075,-44.0152143,2145961773,0.264333541,96.49976495,0,-1.704128602,4,0
-0.170000001,SMG,2008,-6.015625,37.46807018,2135680000,0.122317597,2.229311065,0.140350877,5.802575107,1,0
