,EPS-Annual Basis,Ticker,Quarter-Year,CFPS,PE_Ratio,Market_Cap,ROE,Price_Sales_Ratio,Debt_Equity_Ratio,Quarter,Final_Rating
135,3.675084175,SMG,2017,-8.843333333,58.37675351,5826000000,0.147002504,4.01709991,4.653851819,2,1
136,3.675084175,SMG,2017,9.564489112,37.70133553,5730603000,0.20810514800000002,5.316451433,3.583105148,3,1
137,8.300900901,SMG,2019,8.312274367999999,28.08453148,5664650000,0.251999,4.840340084,3.332083958,2,1
138,-0.0037964970000000002,CGC,2020,-4.294172763,-4.2144108330000005,5568610608,-0.270410993,13.96439722,0.403445958,1,0
139,8.300900901,SMG,2019,5.241441441,-94.30215517,5469525000,-0.080701266,10.98960217,3.214136636,3,1
140,5.160392798999999,SMG,2016,-3.757920925,-83.12721013,5428206821,-0.11262504300000001,26.1726462,4.173853053,4,1
141,5.160392798999999,SMG,2016,3.988543372,-199.7517407,5393297000,-0.037751678,13.4061571,2.927293065,3,1
142,-3.112473545,AMRS,2013,-0.482756894,-35.8015327,4992523736,1.030946889,324.2530191,-2.470191625,4,0
143,-3.1971214530000003,TLRY,2019,-0.35783793799999997,-160.7191765,4869951767,-0.079338605,211.38778399999998,1.818904483,1,0
144,1.1334519570000001,SMG,2018,-5.01754386,31.99503022,4764060000,0.303382233,4.701065719,6.285044825,1,1
145,8.300900901,SMG,2019,-5.792418773,11.76883228,4666342000,0.642417369,3.921625347,5.410401815,1,1
146,0.027640272,AMRS,2014,-0.33290258300000003,-128.698375,4570079296,0.255484168,491.0367783,-3.04435539,2,1
147,5.160392798999999,SMG,2016,9.585644372,21.37006106,4549686000,0.26190183300000003,4.576688462,3.009964325,3,1
149,5.160392798999999,SMG,2016,-4.845276873,-45.0,4445360000,0.31137103899999996,3.723082077,4.4569144210000005,2,1
150,1.1334519570000001,SMG,2018,8.350442478,61.7,4376490000,0.157674772,4.400251357,5.770326748,2,1
151,5.160392798999999,SMG,2016,-5.767479675,-78.6,4214595000,-0.15764889099999999,17.1534188,4.308291164,1,1
152,2.880000002,TAP,2007,-1.9605659069999999,123.0,4154309070,0.000744262,3.38130545,0.9574529390000001,2,1
153,0.027640272,AMRS,2014,-0.129545096,167.9,4056644486,-0.14623286800000002,671.5187033,-3.117050667,1,1
154,2.615384615,SMG,2015,-1.6006546640000001,-161.69503999999998,4042376000,-0.040277106,8.365844371,3.071532141,3,1
155,2.615384615,SMG,2015,-6.489326765,32.2144382,4013919000,0.224060421,3.641403429,4.412335911,1,1
156,2.880000002,TAP,2007,2.508021937,21.17459908,3916517370,0.028548854,20.27844157,1.007806355,3,1
157,-3.1971214530000003,TLRY,2019,-1.071533345,-111.6730068,3914473908,-0.09732429699999999,85.27522455,1.84348927,2,0
158,2.7029220780000003,SMG,2014,-4.629934211,-53.44569863,3901536000,-0.163384064,18.04595745,4.0698299019999995,4,1
159,1.1334519570000001,SMG,2018,-4.450271248,-48.586999999999996,3838373000,-0.318163512,12.87612546,11.98912606,4,1
160,1.1334519570000001,SMG,2018,5.665480427,-25.95522449,3815418000,-0.41455160700000004,8.793311823,7.61393119,3,1
161,2.7029220780000003,SMG,2014,-7.161290322999999,29.795541399999998,3742320000,0.185881308,3.483820518,3.545212372,1,1
162,2.61102107,SMG,2013,-3.600644122,-56.83583077,3694329000,-0.10461934699999999,18.81022912,2.475615645,4,1
163,2.7029220780000003,SMG,2014,3.0438311689999997,-180.78,3610376000,-0.027090482000000003,7.947118644,2.7173559689999998,3,1
164,2.61102107,SMG,2013,2.94165316,-189.97105259999998,3609450000,-0.026741731,8.147742663999999,1.726530612,3,1
165,2.615384615,SMG,2015,10.8147541,27.02473763,3605100000,0.19617647100000002,2.9676489960000003,3.438382353,2,1
167,-0.408211372,AMRS,2016,-0.028257437000000003,-181.25661019999998,3571661504,0.121348162,134.5511962,-1.61224628,3,0
168,1.970149254,SMG,2006,-3.28358209,-60.19779661,3551670000,-0.047542305,13.10579336,0.161160355,4,1
169,0.027640272,AMRS,2014,-0.361885035,-94.93402489,3481420561,0.20372654199999998,213.0481954,-2.436879882,3,1
170,4.193987198,TAP,2006,1.70182266,35.05874092,3479474860,0.0170605,2.272250756,0.986577923,4,1
171,3.03030303,SMG,2005,-3.6470588239999997,-64.78307692,3368720000,-0.044217687,13.52899598,0.17006802699999998,4,1
172,2.7029220780000003,SMG,2014,10.26580227,27.453204600000003,3341055000,0.16114936400000002,2.992704228,2.318855932,2,1
173,2.595054096,SMG,2011,-1.0182926829999999,14.92229553,3302304000,0.288038527,1.3654347740000001,2.2893401019999997,3,1
174,-8.5,SMG,2010,-6.8636363639999995,27.75384615,3247200000,0.07321652099999999,2.278736842,0.578222778,2,0
175,2.595054096,SMG,2011,1.7959814530000002,19.35576048,3232412000,0.298320829,7.747871524,2.665952126,3,1
176,-8.5,SMG,2010,-0.007090909,18.30375,3221460000,0.126346016,2.600048426,0.4005743,3,0
177,1.745901639,SMG,2012,-7.072607261,24.96415094,3175440000,0.2157029,2.70595654,4.205528235,1,1
178,-0.408211372,AMRS,2016,-0.11459001,-190.4,3170153314,0.09770544099999999,359.79495110000005,-1.6516993780000002,1,0
179,2.61102107,SMG,2013,11.02593193,20.81230094,3084383000,0.199784308,2.6865107569999997,2.184551092,2,1
180,-3.112473545,AMRS,2013,-0.281054552,-79.12095782,3078912953,-1.8675433119999998,283.7969354,8.734366751,2,0
181,-3.112473545,AMRS,2013,-0.331346889,-92.55515668,2990919888,-0.54435348,380.08894239999995,3.0615187660000003,1,0
182,1.74000002,SMG,2007,-4.984848485,35.75927711,2968020000,0.221925134,2.988942598,7.13368984,1,1
184,4.193987198,TAP,2006,7.991644653,11.23302899,2940627260,0.04458368,0.6816956829999999,0.999100949,3,1
185,1.970149254,SMG,2006,-5.0149253730000005,31.20489362,2933260000,0.076360682,3.230462555,0.163281885,2,1
186,1.74000002,SMG,2007,9.023362934,-73.07657963,2923063185,-0.083507307,5.742756749,3.751565762,3,1
187,2.595054096,SMG,2011,-3.571428571,-39.77687671,2903712000,-0.157259802,13.74863636,3.662429987,4,1
